Dates;Open;Close;High;Low
03/04/2012 16:43:00;22,6;22,59;22,6;22,56
03/04/2012 16:44:00;22,59;22,6;22,6;22,58
03/04/2012 16:45:00;22,6;22,62;22,62;22,59
03/04/2012 16:46:00;22,62;22,63;22,64;22,62
03/04/2012 16:47:00;22,63;22,64;22,64;22,62
03/04/2012 16:48:00;22,63;22,64;22,65;22,63
03/04/2012 16:49:00;22,63;22,64;22,64;22,63
03/04/2012 16:50:00;22,65;22,63;22,65;22,62
03/04/2012 16:51:00;22,62;22,61;22,64;22,61
03/04/2012 16:52:00;22,63;22,61;22,63;22,6
03/04/2012 16:53:00;22,61;22,62;22,64;22,6
03/04/2012 16:54:00;22,62;22,62;22,65;22,61
